time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,pm10_avg,pm2_5_avg,no2_avg,so2_avg,o3_avg,co_mg,co_avg,aqi_pm10,aqi_pm25,aqi_no2,aqi_so2,aqi_o3,aqi_co,AQI,AQI_Category
2025-08-28 23:00:00,5.6,3.1,122.0,5.2,1.7,37.0,20.7,99,0.0,13.1,4.5,2.704166666666667,4.395833333333333,1.5208333333333333,39.625,0.122,0.12825,4.0,5.0,5.0,2.0,40.0,6.0,40.0,Good
2025-08-29 00:00:00,5.0,2.6,120.0,4.5,1.6,38.0,20.7,99,0.0,13.4,4.6499999999999995,2.7624999999999997,4.379166666666666,1.5250000000000001,38.625,0.12,0.1285,5.0,5.0,5.0,2.0,39.0,6.0,39.0,Good
2025-08-29 01:00:00,4.4,2.3,119.0,3.8,1.4,39.0,20.7,98,0.0,13.1,4.7875000000000005,2.8166666666666664,4.3625,1.5250000000000001,37.875,0.119,0.128125,5.0,5.0,5.0,2.0,38.0,6.0,38.0,Good
2025-08-29 02:00:00,2.8,1.6,119.0,3.3,1.3,39.0,20.6,96,0.1,14.8,4.8375,2.829166666666667,4.341666666666666,1.5208333333333333,37.5,0.119,0.127,5.0,5.0,5.0,2.0,38.0,6.0,38.0,Good
2025-08-29 03:00:00,2.3,1.5,118.0,3.4,1.3,38.0,20.3,97,0.1,15.5,4.883333333333334,2.8458333333333337,4.329166666666667,1.5166666666666666,37.375,0.118,0.12487500000000001,5.0,5.0,5.0,2.0,37.0,6.0,37.0,Good
2025-08-29 04:00:00,2.1,1.6,118.0,3.8,1.5,37.0,20.0,97,0.0,13.8,4.933333333333333,2.8791666666666664,4.333333333333333,1.5166666666666666,37.5,0.118,0.12237499999999998,5.0,5.0,5.0,2.0,38.0,6.0,38.0,Good
2025-08-29 05:00:00,3.5,1.9,120.0,3.6,1.5,37.0,19.8,98,0.0,12.7,5.0,2.904166666666667,4.304166666666667,1.5250000000000001,37.625,0.12,0.1205,5.0,5.0,5.0,2.0,38.0,6.0,38.0,Good
2025-08-29 06:00:00,2.1,1.5,125.0,3.9,1.5,39.0,20.9,97,0.1,18.9,4.9750000000000005,2.8958333333333335,4.266666666666667,1.5250000000000001,38.0,0.125,0.12012500000000001,5.0,5.0,5.0,2.0,38.0,6.0,38.0,Good
2025-08-29 07:00:00,1.6,1.2,133.0,4.2,1.6,41.0,21.0,97,0.1,16.8,4.825,2.8125,4.216666666666667,1.5208333333333333,38.5,0.133,0.1215,5.0,5.0,5.0,2.0,38.0,6.0,38.0,Good
2025-08-29 08:00:00,1.5,1.2,136.0,4.2,1.6,44.0,21.2,95,0.1,18.5,4.720833333333333,2.75,4.1625000000000005,1.508333333333333,39.25,0.136,0.1235,5.0,5.0,5.0,2.0,39.0,6.0,39.0,Good
2025-08-29 09:00:00,1.7,1.3,132.0,3.4,1.6,47.0,21.3,95,0.3,18.0,4.595833333333333,2.683333333333333,4.108333333333333,1.4958333333333333,40.25,0.132,0.12512500000000001,5.0,4.0,5.0,2.0,40.0,6.0,40.0,Good
2025-08-29 10:00:00,2.4,1.6,124.0,2.3,1.5,51.0,22.0,92,0.1,20.1,4.508333333333334,2.641666666666667,4.066666666666667,1.4874999999999998,41.75,0.124,0.12575,5.0,4.0,5.0,2.0,42.0,6.0,42.0,Good
