city,latitude,longitude,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
Bengaluru,12.9716,77.5946,2025-08-28 00:00:00,2.9,2.8,232.0,9.7,4.3,32.0,20.1,95,1.1,14.1
Bengaluru,12.9716,77.5946,2025-08-28 01:00:00,2.5,2.4,201.0,8.0,4.2,33.0,19.9,97,0.7,16.2
Bengaluru,12.9716,77.5946,2025-08-28 02:00:00,2.2,2.2,181.0,6.8,4.2,33.0,19.8,98,1.0,16.0
Bengaluru,12.9716,77.5946,2025-08-28 03:00:00,2.2,2.1,174.0,6.4,4.4,32.0,19.8,97,0.1,15.4
Bengaluru,12.9716,77.5946,2025-08-28 04:00:00,2.2,2.2,178.0,6.6,4.8,30.0,19.6,98,0.0,15.2
Bengaluru,12.9716,77.5946,2025-08-28 05:00:00,1.9,1.9,204.0,6.5,4.7,31.0,19.8,97,0.1,14.8
Bengaluru,12.9716,77.5946,2025-08-28 06:00:00,2.7,2.7,274.0,8.5,5.3,28.0,20.1,96,0.1,11.4
Bengaluru,12.9716,77.5946,2025-08-28 07:00:00,4.2,4.2,365.0,11.2,6.0,25.0,20.6,93,0.1,15.5
Bengaluru,12.9716,77.5946,2025-08-28 08:00:00,4.5,4.4,416.0,12.3,6.2,25.0,21.8,87,0.1,17.1
Bengaluru,12.9716,77.5946,2025-08-28 09:00:00,4.0,3.9,387.0,10.3,5.2,31.0,22.9,81,0.0,16.8
Bengaluru,12.9716,77.5946,2025-08-28 10:00:00,2.1,2.0,319.0,6.8,3.7,41.0,23.6,79,0.2,14.8
Bengaluru,12.9716,77.5946,2025-08-28 11:00:00,3.3,2.8,271.0,4.3,2.7,49.0,25.2,74,0.1,13.6
Bengaluru,12.9716,77.5946,2025-08-28 12:00:00,3.1,2.7,262.0,3.8,2.9,56.0,25.8,67,0.0,17.9
Bengaluru,12.9716,77.5946,2025-08-28 13:00:00,4.2,4.0,273.0,4.2,3.7,61.0,22.3,86,0.7,12.1
Bengaluru,12.9716,77.5946,2025-08-28 14:00:00,3.8,3.7,314.0,5.2,4.2,64.0,23.9,78,0.1,18.4
