city,latitude,longitude,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
Delhi,28.6139,77.209,2025-08-28 00:00:00,80.1,79.6,627.0,61.2,27.4,36.0,26.7,93,0.2,4.7
Delhi,28.6139,77.209,2025-08-28 01:00:00,64.7,64.5,484.0,40.6,22.0,58.0,26.5,95,0.0,6.9
Delhi,28.6139,77.209,2025-08-28 02:00:00,53.3,53.0,403.0,26.0,18.0,71.0,25.9,94,1.9,7.3
Delhi,28.6139,77.209,2025-08-28 03:00:00,52.4,52.2,365.0,22.9,16.1,68.0,25.8,96,0.2,4.3
Delhi,28.6139,77.209,2025-08-28 04:00:00,55.1,54.8,388.0,25.6,15.6,57.0,25.5,98,0.1,1.3
Delhi,28.6139,77.209,2025-08-28 05:00:00,55.5,55.4,465.0,32.2,17.3,47.0,25.3,97,1.3,5.0
Delhi,28.6139,77.209,2025-08-28 06:00:00,51.1,51.0,648.0,31.0,18.7,55.0,26.7,97,0.0,5.9
Delhi,28.6139,77.209,2025-08-28 07:00:00,49.1,48.9,885.0,29.0,20.7,67.0,27.3,93,0.2,3.3
Delhi,28.6139,77.209,2025-08-28 08:00:00,49.0,48.7,1010.0,26.2,23.4,86.0,28.2,89,0.0,5.2
Delhi,28.6139,77.209,2025-08-28 09:00:00,50.8,50.4,916.0,21.6,27.5,116.0,29.6,82,0.0,7.0
Delhi,28.6139,77.209,2025-08-28 10:00:00,72.2,49.4,711.0,16.1,32.1,152.0,30.8,77,0.1,6.2
Delhi,28.6139,77.209,2025-08-28 11:00:00,87.5,52.6,551.0,11.8,35.2,183.0,31.3,76,0.0,6.3
Delhi,28.6139,77.209,2025-08-28 12:00:00,66.4,52.7,490.0,9.1,35.0,207.0,32.0,73,0.0,5.8
Delhi,28.6139,77.209,2025-08-28 13:00:00,64.3,53.7,475.0,7.5,33.1,225.0,32.2,73,0.1,5.6
Delhi,28.6139,77.209,2025-08-28 14:00:00,61.7,53.7,506.0,7.7,32.4,236.0,32.2,73,0.1,4.9
Delhi,28.6139,77.209,2025-08-28 15:00:00,61.5,54.9,569.0,8.6,34.2,240.0,32.4,73,0.0,3.2
Delhi,28.6139,77.209,2025-08-28 16:00:00,61.0,55.8,678.0,11.3,37.1,236.0,30.5,76,0.2,4.3
Delhi,28.6139,77.209,2025-08-28 17:00:00,62.2,61.7,875.0,21.6,33.5,180.0,29.7,77,1.4,3.6
Delhi,28.6139,77.209,2025-08-28 18:00:00,66.6,66.1,1294.0,29.0,32.8,150.0,29.5,82,0.1,8.0
