city,latitude,longitude,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
Kolkata,22.5726,88.3639,2025-08-28 00:00:00,12.3,10.1,271.0,6.9,4.6,53.0,26.6,90,0.0,6.1
Kolkata,22.5726,88.3639,2025-08-28 01:00:00,11.7,9.7,213.0,6.1,4.2,58.0,26.2,92,0.0,6.1
Kolkata,22.5726,88.3639,2025-08-28 02:00:00,11.3,9.3,176.0,5.5,3.9,62.0,26.1,92,0.0,6.2
Kolkata,22.5726,88.3639,2025-08-28 03:00:00,10.8,9.0,177.0,5.3,3.8,63.0,26.1,92,0.0,8.3
Kolkata,22.5726,88.3639,2025-08-28 04:00:00,9.4,7.9,198.0,5.4,3.9,63.0,26.2,91,0.0,9.8
Kolkata,22.5726,88.3639,2025-08-28 05:00:00,10.6,8.6,221.0,5.4,4.3,59.0,25.8,91,0.2,10.8
Kolkata,22.5726,88.3639,2025-08-28 06:00:00,11.3,9.2,244.0,4.9,4.5,63.0,27.0,90,0.0,9.6
Kolkata,22.5726,88.3639,2025-08-28 07:00:00,12.1,9.9,267.0,4.2,4.8,68.0,28.1,86,0.0,10.9
Kolkata,22.5726,88.3639,2025-08-28 08:00:00,11.0,8.7,276.0,3.6,5.0,71.0,28.7,82,0.1,11.8
Kolkata,22.5726,88.3639,2025-08-28 09:00:00,9.5,7.5,254.0,3.1,5.0,72.0,30.2,78,0.0,12.0
Kolkata,22.5726,88.3639,2025-08-28 10:00:00,8.3,6.6,218.0,2.7,5.0,71.0,30.6,73,0.0,12.9
Kolkata,22.5726,88.3639,2025-08-28 11:00:00,7.8,6.5,196.0,2.4,5.0,70.0,31.1,70,0.0,14.7
Kolkata,22.5726,88.3639,2025-08-28 12:00:00,8.1,6.5,201.0,2.3,5.0,70.0,31.1,70,0.1,15.3
Kolkata,22.5726,88.3639,2025-08-28 13:00:00,9.2,7.1,221.0,2.3,5.1,71.0,28.3,84,3.7,9.5
Kolkata,22.5726,88.3639,2025-08-28 14:00:00,9.6,7.6,250.0,2.8,5.2,70.0,29.1,77,1.0,14.1
Kolkata,22.5726,88.3639,2025-08-28 15:00:00,11.2,8.8,298.0,4.1,5.4,66.0,28.3,81,0.3,14.0
Kolkata,22.5726,88.3639,2025-08-28 16:00:00,12.4,9.7,355.0,5.8,5.8,61.0,28.5,82,0.1,12.3
Kolkata,22.5726,88.3639,2025-08-28 17:00:00,13.1,10.6,389.0,7.3,5.5,51.0,28.0,85,0.1,12.1
Kolkata,22.5726,88.3639,2025-08-28 18:00:00,14.3,12.0,382.0,7.8,6.0,49.0,28.0,86,0.0,8.0
Kolkata,22.5726,88.3639,2025-08-28 19:00:00,15.4,13.0,353.0,8.4,6.7,46.0,27.8,88,0.0,9.1
Kolkata,22.5726,88.3639,2025-08-28 20:00:00,16.2,13.7,323.0,8.7,7.0,44.0,27.5,89,0.0,9.2
Kolkata,22.5726,88.3639,2025-08-28 21:00:00,16.6,14.1,300.0,8.5,6.6,44.0,27.1,90,0.0,8.9
Kolkata,22.5726,88.3639,2025-08-28 22:00:00,15.9,13.5,277.0,8.1,5.8,45.0,26.9,91,0.0,8.6
Kolkata,22.5726,88.3639,2025-08-28 23:00:00,14.7,12.3,255.0,7.6,5.2,46.0,26.7,91,0.0,9.4
Kolkata,22.5726,88.3639,2025-08-29 00:00:00,14.1,11.8,230.0,7.0,4.8,49.0,26.6,91,0.0,8.2
Kolkata,22.5726,88.3639,2025-08-29 01:00:00,12.8,10.5,205.0,6.5,4.5,52.0,26.5,91,0.0,8.4
Kolkata,22.5726,88.3639,2025-08-29 02:00:00,12.3,10.2,193.0,6.4,4.5,53.0,26.4,92,0.0,7.2
Kolkata,22.5726,88.3639,2025-08-29 03:00:00,13.1,11.1,199.0,7.4,4.9,51.0,26.2,92,0.0,7.2
Kolkata,22.5726,88.3639,2025-08-29 04:00:00,14.0,11.9,218.0,8.9,5.5,47.0,25.9,93,0.0,6.9
Kolkata,22.5726,88.3639,2025-08-29 05:00:00,13.1,10.8,241.0,6.4,4.6,50.0,25.8,94,0.0,6.1
Kolkata,22.5726,88.3639,2025-08-29 06:00:00,14.8,12.0,275.0,5.6,4.7,53.0,27.0,92,0.0,5.9
Kolkata,22.5726,88.3639,2025-08-29 07:00:00,15.0,12.1,313.0,4.5,4.9,58.0,28.3,86,0.1,8.1
Kolkata,22.5726,88.3639,2025-08-29 08:00:00,12.1,9.7,333.0,3.7,5.0,61.0,29.1,83,0.3,8.2
Kolkata,22.5726,88.3639,2025-08-29 09:00:00,10.0,8.3,317.0,3.5,5.1,62.0,30.0,78,0.3,12.1
Kolkata,22.5726,88.3639,2025-08-29 10:00:00,9.2,8.0,282.0,3.7,5.3,61.0,27.3,85,8.4,12.9
Kolkata,22.5726,88.3639,2025-08-29 11:00:00,8.8,7.7,254.0,3.7,5.4,62.0,28.0,85,0.4,10.4
Kolkata,22.5726,88.3639,2025-08-29 12:00:00,9.7,8.2,237.0,3.2,5.6,67.0,30.2,79,0.2,11.4
