city,latitude,longitude,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
Mumbai,19.076,72.8777,2025-08-28 00:00:00,70.5,25.9,274.0,10.0,16.9,43.0,25.3,93,0.4,1.7
Mumbai,19.076,72.8777,2025-08-28 01:00:00,69.8,25.3,211.0,9.1,15.1,43.0,25.2,93,0.3,6.1
Mumbai,19.076,72.8777,2025-08-28 02:00:00,66.8,24.4,170.0,8.5,13.8,43.0,25.2,93,0.1,7.1
Mumbai,19.076,72.8777,2025-08-28 03:00:00,64.0,24.0,158.0,8.2,13.4,44.0,25.2,92,0.5,7.3
Mumbai,19.076,72.8777,2025-08-28 04:00:00,62.9,23.6,168.0,8.1,13.6,44.0,25.4,91,0.2,6.0
Mumbai,19.076,72.8777,2025-08-28 05:00:00,54.8,18.7,198.0,4.5,10.1,48.0,25.1,91,0.4,6.9
Mumbai,19.076,72.8777,2025-08-28 06:00:00,52.4,18.1,266.0,5.1,11.3,48.0,25.7,90,0.9,10.1
Mumbai,19.076,72.8777,2025-08-28 07:00:00,54.2,19.1,352.0,6.0,13.0,47.0,26.1,90,0.1,11.4
Mumbai,19.076,72.8777,2025-08-28 08:00:00,57.2,20.3,398.0,6.5,14.6,50.0,26.5,84,1.0,10.9
Mumbai,19.076,72.8777,2025-08-28 09:00:00,60.1,22.2,363.0,6.4,15.9,58.0,26.4,87,0.5,8.3
Mumbai,19.076,72.8777,2025-08-28 10:00:00,63.3,23.3,288.0,6.0,17.0,69.0,27.2,85,0.1,7.4
Mumbai,19.076,72.8777,2025-08-28 11:00:00,66.4,25.3,229.0,5.7,17.7,78.0,28.0,82,0.1,9.6
Mumbai,19.076,72.8777,2025-08-28 12:00:00,73.6,28.4,208.0,5.3,17.9,85.0,28.3,79,0.0,11.2
Mumbai,19.076,72.8777,2025-08-28 13:00:00,76.8,30.2,204.0,4.9,17.8,91.0,28.3,80,0.1,10.8
Mumbai,19.076,72.8777,2025-08-28 14:00:00,75.4,28.8,215.0,5.5,17.5,90.0,27.9,81,0.1,11.2
Mumbai,19.076,72.8777,2025-08-28 15:00:00,75.2,27.1,238.0,8.1,17.0,77.0,27.9,80,0.1,9.1
Mumbai,19.076,72.8777,2025-08-28 16:00:00,76.1,26.1,276.0,11.7,16.4,56.0,27.5,81,0.2,9.1
Mumbai,19.076,72.8777,2025-08-28 17:00:00,78.0,28.3,336.0,12.3,15.4,53.0,27.1,84,0.4,8.2
Mumbai,19.076,72.8777,2025-08-28 18:00:00,78.7,28.8,448.0,13.7,16.9,48.0,26.8,91,1.6,8.5
Mumbai,19.076,72.8777,2025-08-28 19:00:00,80.6,28.9,582.0,15.5,19.0,40.0,26.3,95,2.7,6.7
Mumbai,19.076,72.8777,2025-08-28 20:00:00,81.5,29.3,658.0,16.8,20.7,35.0,26.2,95,2.6,5.3
Mumbai,19.076,72.8777,2025-08-28 21:00:00,82.4,29.5,632.0,17.1,21.9,33.0,26.1,94,2.3,4.1
Mumbai,19.076,72.8777,2025-08-28 22:00:00,79.2,28.7,549.0,16.7,22.6,32.0,26.0,94,1.1,7.2
Mumbai,19.076,72.8777,2025-08-28 23:00:00,74.5,27.3,458.0,15.9,22.5,33.0,25.9,94,0.5,6.3
Mumbai,19.076,72.8777,2025-08-29 00:00:00,71.0,26.0,365.0,14.4,20.8,35.0,25.9,92,0.5,9.9
Mumbai,19.076,72.8777,2025-08-29 01:00:00,68.7,25.0,265.0,12.4,18.2,37.0,25.8,93,0.2,9.7
Mumbai,19.076,72.8777,2025-08-29 02:00:00,68.9,24.2,194.0,10.8,16.2,39.0,25.7,93,0.2,10.3
Mumbai,19.076,72.8777,2025-08-29 03:00:00,65.7,23.1,167.0,9.7,15.2,40.0,25.7,91,0.2,8.4
Mumbai,19.076,72.8777,2025-08-29 04:00:00,62.6,22.4,170.0,8.9,14.8,41.0,25.5,92,0.2,8.4
Mumbai,19.076,72.8777,2025-08-29 05:00:00,58.7,21.7,195.0,8.9,17.3,41.0,25.4,90,0.2,5.9
Mumbai,19.076,72.8777,2025-08-29 06:00:00,60.1,22.6,259.0,9.8,19.6,40.0,25.9,89,0.1,6.4
Mumbai,19.076,72.8777,2025-08-29 07:00:00,62.6,24.3,345.0,11.1,22.9,39.0,25.9,90,0.0,7.5
Mumbai,19.076,72.8777,2025-08-29 08:00:00,66.1,26.7,392.0,11.8,26.3,45.0,26.6,87,0.0,6.7
Mumbai,19.076,72.8777,2025-08-29 09:00:00,69.2,29.6,362.0,11.5,30.1,62.0,27.0,84,0.1,6.3
Mumbai,19.076,72.8777,2025-08-29 10:00:00,74.0,32.6,294.0,10.7,34.0,85.0,27.5,83,0.1,6.5
Mumbai,19.076,72.8777,2025-08-29 11:00:00,81.0,37.3,239.0,9.8,36.4,105.0,27.8,82,0.1,9.4
Mumbai,19.076,72.8777,2025-08-29 12:00:00,86.4,40.9,216.0,8.7,36.7,121.0,27.6,83,0.3,8.9
Mumbai,19.076,72.8777,2025-08-29 13:00:00,86.8,41.9,206.0,7.6,35.5,133.0,28.0,81,0.1,10.1
Mumbai,19.076,72.8777,2025-08-29 14:00:00,84.1,39.8,206.0,7.4,33.5,135.0,28.0,80,0.1,11.8
Mumbai,19.076,72.8777,2025-08-29 15:00:00,79.2,36.0,212.0,8.8,30.3,118.0,27.9,81,0.1,11.5
Mumbai,19.076,72.8777,2025-08-29 16:00:00,72.4,31.9,228.0,11.0,26.4,90.0,27.3,81,1.1,12.2
Mumbai,19.076,72.8777,2025-08-29 17:00:00,78.9,37.6,266.0,16.3,35.3,87.0,27.0,85,0.4,10.9
Mumbai,19.076,72.8777,2025-08-29 18:00:00,68.2,33.1,357.0,16.7,32.1,75.0,25.8,95,2.0,8.0
Mumbai,19.076,72.8777,2025-08-29 19:00:00,58.9,28.3,471.0,17.2,27.6,60.0,25.5,92,0.8,10.2
Mumbai,19.076,72.8777,2025-08-29 20:00:00,47.7,22.9,528.0,17.2,23.8,49.0,25.5,93,0.2,6.0
Mumbai,19.076,72.8777,2025-08-29 21:00:00,36.1,18.7,479.0,16.6,21.5,48.0,25.6,92,0.1,8.3
Mumbai,19.076,72.8777,2025-08-29 22:00:00,26.7,15.4,373.0,15.5,19.8,52.0,25.5,92,0.1,8.4
Mumbai,19.076,72.8777,2025-08-29 23:00:00,19.3,12.6,282.0,14.2,18.0,56.0,25.5,90,0.3,6.1
Mumbai,19.076,72.8777,2025-08-30 00:00:00,15.3,11.0,229.0,12.6,15.7,58.0,25.3,92,0.1,8.3
Mumbai,19.076,72.8777,2025-08-30 01:00:00,14.3,10.3,191.0,10.8,13.4,60.0,25.2,93,0.0,6.7
Mumbai,19.076,72.8777,2025-08-30 02:00:00,14.6,9.6,166.0,9.4,11.5,60.0,25.1,94,0.0,9.5
Mumbai,19.076,72.8777,2025-08-30 03:00:00,16.8,9.5,144.0,8.7,10.2,58.0,25.0,93,0.2,9.6
Mumbai,19.076,72.8777,2025-08-30 04:00:00,18.9,9.5,136.0,8.4,9.4,56.0,25.3,93,0.1,7.1
Mumbai,19.076,72.8777,2025-08-30 05:00:00,21.0,10.7,169.0,8.9,12.8,51.0,25.1,93,0.6,8.1
Mumbai,19.076,72.8777,2025-08-30 06:00:00,22.6,11.4,291.0,10.6,16.1,47.0,25.4,93,0.2,8.4
Mumbai,19.076,72.8777,2025-08-30 07:00:00,24.4,12.9,455.0,13.0,20.6,43.0,25.9,90,0.5,9.2
Mumbai,19.076,72.8777,2025-08-30 08:00:00,27.9,15.3,545.0,14.0,23.8,44.0,26.1,87,0.2,9.0
Mumbai,19.076,72.8777,2025-08-30 09:00:00,30.2,16.8,490.0,12.5,24.4,54.0,26.8,80,0.0,10.6
Mumbai,19.076,72.8777,2025-08-30 10:00:00,32.4,18.3,362.0,9.8,23.8,70.0,26.8,79,0.0,9.9
Mumbai,19.076,72.8777,2025-08-30 11:00:00,35.6,19.2,261.0,7.6,23.0,84.0,27.7,77,0.0,6.7
Mumbai,19.076,72.8777,2025-08-30 12:00:00,40.5,22.4,226.0,6.4,22.5,97.0,27.6,77,0.0,6.5
Mumbai,19.076,72.8777,2025-08-30 13:00:00,42.6,23.5,217.0,5.8,21.8,109.0,28.2,76,0.0,9.4
Mumbai,19.076,72.8777,2025-08-30 14:00:00,44.6,24.2,217.0,5.8,21.1,113.0,28.4,76,0.0,11.9
Mumbai,19.076,72.8777,2025-08-30 15:00:00,46.0,24.0,219.0,6.9,20.4,104.0,28.2,77,0.4,12.0
Mumbai,19.076,72.8777,2025-08-30 16:00:00,46.7,23.8,230.0,8.7,19.7,87.0,28.0,78,0.2,12.0
Mumbai,19.076,72.8777,2025-08-30 17:00:00,58.0,28.2,253.0,11.3,23.1,83.0,27.6,81,0.2,11.1
Mumbai,19.076,72.8777,2025-08-30 18:00:00,54.6,25.4,302.0,11.9,21.8,72.0,26.8,86,0.0,9.3
Mumbai,19.076,72.8777,2025-08-30 19:00:00,54.0,24.0,363.0,12.8,20.1,57.0,26.4,89,0.0,8.6
Mumbai,19.076,72.8777,2025-08-30 20:00:00,53.2,23.2,396.0,13.2,18.6,45.0,26.3,90,0.0,7.0
Mumbai,19.076,72.8777,2025-08-30 21:00:00,52.9,22.1,381.0,13.0,17.9,41.0,26.3,89,0.1,7.5
Mumbai,19.076,72.8777,2025-08-30 22:00:00,53.8,21.7,338.0,12.4,17.5,40.0,26.2,89,0.0,7.5
Mumbai,19.076,72.8777,2025-08-30 23:00:00,55.9,22.0,292.0,11.6,16.8,40.0,26.0,90,0.0,8.0
Mumbai,19.076,72.8777,2025-08-31 00:00:00,60.1,21.8,245.0,10.6,15.2,40.0,25.8,90,0.1,10.5
Mumbai,19.076,72.8777,2025-08-31 01:00:00,58.3,21.4,193.0,9.3,13.2,41.0,25.8,88,0.5,10.5
Mumbai,19.076,72.8777,2025-08-31 02:00:00,56.6,20.5,156.0,8.5,11.8,42.0,25.6,90,0.4,9.9
Mumbai,19.076,72.8777,2025-08-31 03:00:00,55.4,19.6,136.0,8.2,11.5,42.0,25.4,90,0.7,12.0
Mumbai,19.076,72.8777,2025-08-31 04:00:00,52.6,18.6,130.0,8.2,11.7,41.0,25.0,94,0.6,9.8
