time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2026-08-28T00:00,4.2,2.3,104.0,4.5,1.7,37.0
2026-08-28T01:00,3.5,1.9,99.0,3.2,1.6,39.0
2026-08-28T02:00,3.1,1.7,94.0,2.4,1.5,41.0
2026-08-28T03:00,2.7,1.6,91.0,2.3,1.6,40.0
2026-08-28T04:00,2.8,1.6,89.0,2.5,1.8,39.0
2026-08-28T05:00,3.0,1.6,90.0,2.3,1.4,39.0
2026-08-28T06:00,2.7,1.6,96.0,2.6,1.4,39.0
2026-08-28T07:00,3.9,1.9,106.0,3.1,1.3,38.0
2026-08-28T08:00,5.9,2.4,111.0,3.2,1.3,39.0
2026-08-28T09:00,5.5,2.9,108.0,2.7,1.3,43.0
2026-08-28T10:00,10.4,4.1,101.0,1.8,1.2,47.0
2026-08-28T11:00,15.2,5.3,96.0,1.2,1.2,51.0
2026-08-28T12:00,14.7,5.3,94.0,1.0,1.2,52.0
2026-08-28T13:00,11.3,4.8,94.0,1.1,1.2,53.0
2026-08-28T14:00,7.6,3.7,95.0,1.3,1.2,52.0
2026-08-28T15:00,7.1,3.5,96.0,1.7,1.2,50.0
2026-08-28T16:00,7.3,3.7,97.0,2.4,1.2,47.0
2026-08-28T17:00,7.7,4.2,100.0,3.1,1.2,44.0
2026-08-28T18:00,8.0,4.4,106.0,4.1,1.3,40.0
2026-08-28T19:00,7.1,4.4,113.0,5.2,1.4,36.0
2026-08-28T20:00,6.2,3.9,117.0,5.7,1.5,34.0
2026-08-28T21:00,5.5,3.3,116.0,5.3,1.5,34.0
2026-08-28T22:00,5.8,3.5,111.0,4.4,1.4,36.0
2026-08-28T23:00,6.9,3.8,106.0,3.6,1.3,37.0
2026-08-29T00:00,4.4,2.3,100.0,3.2,1.3,37.0
2026-08-29T01:00,3.0,1.6,94.0,2.9,1.3,36.0
2026-08-29T02:00,2.4,1.4,89.0,2.6,1.3,36.0
2026-08-29T03:00,1.7,1.1,86.0,2.3,1.3,37.0
2026-08-29T04:00,1.4,0.9,85.0,2.0,1.2,38.0
2026-08-29T05:00,1.7,0.9,86.0,1.9,1.2,38.0
2026-08-29T06:00,2.3,1.3,90.0,2.2,1.2,37.0
2026-08-29T07:00,2.8,1.6,95.0,2.6,1.1,36.0
2026-08-29T08:00,4.3,2.1,98.0,2.8,1.1,36.0
2026-08-29T09:00,5.2,2.8,97.0,2.4,1.1,39.0
2026-08-29T10:00,7.3,3.4,94.0,1.8,1.1,44.0
2026-08-29T11:00,9.3,4.1,91.0,1.3,1.1,47.0
2026-08-29T12:00,8.9,4.1,90.0,1.1,1.1,48.0
2026-08-29T13:00,9.8,4.4,90.0,1.0,1.0,49.0
2026-08-29T14:00,10.3,4.9,91.0,1.1,1.0,48.0
2026-08-29T15:00,10.9,5.4,93.0,1.6,1.0,46.0
2026-08-29T16:00,11.2,5.7,96.0,2.2,1.0,44.0
2026-08-29T17:00,9.2,4.9,99.0,2.9,1.0,41.0
2026-08-29T18:00,7.8,4.1,102.0,3.6,1.1,39.0
2026-08-29T19:00,6.3,3.8,106.0,4.2,1.1,36.0
2026-08-29T20:00,5.4,3.3,107.0,4.5,1.2,35.0
2026-08-29T21:00,5.2,3.1,104.0,4.2,1.2,35.0
2026-08-29T22:00,5.1,3.0,100.0,3.6,1.2,35.0
2026-08-29T23:00,5.2,2.9,95.0,3.0,1.1,36.0
2026-08-30T00:00,4.2,2.4,91.0,2.5,1.0,36.0
2026-08-30T01:00,3.4,2.0,88.0,2.1,1.0,36.0
2026-08-30T02:00,3.2,1.8,85.0,1.8,0.9,36.0
2026-08-30T03:00,3.0,1.7,83.0,1.7,0.9,36.0
2026-08-30T04:00,2.6,1.5,82.0,1.6,0.9,37.0
2026-08-30T05:00,2.9,1.7,83.0,1.7,0.9,37.0
2026-08-30T06:00,4.0,2.3,86.0,2.0,1.0,36.0
2026-08-30T07:00,4.8,2.8,91.0,2.3,1.0,34.0
2026-08-30T08:00,5.0,3.2,94.0,2.4,1.1,34.0
2026-08-30T09:00,6.4,4.0,94.0,2.0,1.1,37.0
2026-08-30T10:00,9.1,5.3,92.0,1.4,1.0,42.0
2026-08-30T11:00,9.6,5.6,90.0,0.9,1.0,46.0
2026-08-30T12:00,10.0,6.1,90.0,0.8,1.0,48.0
2026-08-30T13:00,10.9,6.5,90.0,0.8,1.0,48.0
2026-08-30T14:00,11.5,6.8,90.0,1.0,1.0,48.0
2026-08-30T15:00,10.4,5.9,91.0,1.4,1.0,46.0
2026-08-30T16:00,8.5,4.9,92.0,2.0,1.0,43.0
2026-08-30T17:00,5.7,3.6,94.0,2.5,1.0,40.0
2026-08-30T18:00,6.7,4.3,96.0,3.1,1.1,39.0
2026-08-30T19:00,7.4,5.1,99.0,3.6,1.3,38.0
2026-08-30T20:00,7.6,5.2,100.0,3.9,1.4,37.0
2026-08-30T21:00,7.0,4.8,100.0,3.8,1.4,37.0
2026-08-30T22:00,5.5,3.9,99.0,3.4,1.3,37.0
2026-08-30T23:00,4.0,2.9,97.0,3.0,1.2,37.0
2026-08-31T00:00,3.0,2.1,94.0,2.5,1.1,38.0
2026-08-31T01:00,2.4,1.7,89.0,2.1,1.1,39.0
2026-08-31T02:00,2.2,1.5,86.0,1.7,1.0,40.0
2026-08-31T03:00,2.4,1.6,84.0,1.6,1.0,40.0
2026-08-31T04:00,2.1,1.4,84.0,1.5,1.0,40.0
2026-08-31T05:00,1.9,1.3,85.0,1.7,1.0,40.0
2026-08-31T06:00,2.3,1.6,91.0,2.2,1.1,39.0
2026-08-31T07:00,3.1,2.1,98.0,2.8,1.2,38.0
2026-08-31T08:00,3.8,2.6,103.0,3.1,1.3,38.0
2026-08-31T09:00,4.4,3.0,101.0,2.6,1.3,41.0
2026-08-31T10:00,6.5,4.0,96.0,1.8,1.2,45.0
2026-08-31T11:00,8.5,4.9,92.0,1.3,1.1,48.0
2026-08-31T12:00,6.7,3.8,91.0,1.3,1.1,48.0
2026-08-31T13:00,7.0,3.9,92.0,1.5,1.1,47.0
2026-08-31T14:00,7.7,4.4,93.0,2.0,1.1,45.0
2026-08-31T15:00,7.4,4.5,94.0,2.8,1.1,42.0
2026-08-31T16:00,7.0,4.5,96.0,3.9,1.2,39.0
2026-08-31T17:00,5.0,3.5,98.0,4.8,1.3,36.0
